FICE,College name,State,Public/private indicator,Average Math SAT score,Average Verbal SAT score,Average Combined SAT score,Average ACT score,First quartile - Math SAT,Third quartile - Math SAT,First quartile - Verbal SAT,Third quartile - Verbal SAT,First quartile - ACT,Third quartile - ACT,Number of applications received,Number of applicants accepted,Number of new students enrolled,Number of fulltime undergraduates,Number of parttime undergraduates,In-state tuition,Out-of-state tuition,Room and board costs,Room costs,Board costs,Additional fees,Estimated book costs,Estimated personal spending,Student/faculty ratio,Instructional expenditure per student,Graduation rate
1466,Barry University,FL,2,470,430,900,20,390,540,360,490,17,24,990,784,279,1811,3144,11290,11290,5360,5360,*,240,600,1800,12.6,9084,72
1467,Bethune Cookman College,FL,2,408,367,775,16,*,*,*,*,*,*,1646,1150,542,2128,82,5188,5188,3396,1541,1855,427,650,2500,13.8,6817,58
1468,St. Thomas University,FL,2,440,390,830,19,390,440,375,425,16,19,492,370,236,1125,482,9600,9600,4600,*,*,380,600,1890,23.2,7400,33
1469,Florida Institute of Technology,FL,2,596,500,1096,*,530,600,450,550,*,*,1947,1580,523,1863,233,13900,13900,4140,1740,2400,400,750,1500,10.6,8923,57
1473,Clearwater Christian College,FL,2,442,433,875,22,*,*,*,*,*,*,161,156,101,409,43,5200,5200,3400,3400,*,500,500,400,15.1,6724,*
1479,Embry Riddle Aeronautical University,FL,2,544,461,994,25,490,610,410,520,21,27,3151,2584,958,4772,856,7800,7800,3750,2050,1700,80,570,3020,16.5,12878,44
1480,Florida A&M University,FL,1,*,*,*,*,*,*,*,*,*,*,4880,2899,1463,7931,1357,1749,6651,2668,1076,1592,80,600,*,11.8,7243,*
1481,Florida Atlantic University,FL,1,528,462,990,22,470,585,415,525,20,24,3181,2089,826,6035,6414,1800,6700,4060,1940,2120,*,600,2270,15.6,8717,48
1486,Florida Memorial College,FL,2,*,*,*,*,*,*,*,*,*,*,2400,1800,557,1312,176,4160,4160,3190,1680,1510,780,500,1000,17.1,5304,35
1487,Eckerd College,FL,2,559,517,1076,25,510,620,460,580,22,28,1422,1109,366,1363,23,15360,15360,4080,*,*,250,600,1000,12.8,15003,59
1488,Florida Southern College,FL,2,505,478,912,23,*,*,*,*,*,*,1381,1040,374,1506,970,8025,8025,4865,2100,2765,605,400,650,17.4,6339,68
1489,Florida State University,FL,1,*,*,*,*,510,630,460,560,23,27,11651,8683,3023,18906,3242,1780,6680,4060,1910,2150,*,600,1020,23.1,7250,58
1495,Jacksonville University,FL,2,*,*,*,*,*,*,*,*,*,*,1344,1008,305,1556,517,9600,9600,4380,2020,2360,480,700,1400,12.1,7679,*
1505,Lynn University,FL,2,450,440,890,21,360,480,330,440,*,*,1292,956,315,1250,200,13900,13900,5600,2450,3150,300,400,1100,19,12614,65
1509,Nova Southeastern University,FL,2,477,428,905,*,420,520,380,470,*,*,1025,770,257,1893,1220,8550,8550,4740,2880,1860,250,720,4029,20.4,12523,23
1515,Rollins College,FL,2,557,502,1059,25,500,610,500,550,23,27,1777,1151,382,1668,1052,16425,16425,5220,2830,2390,470,955,750,13.3,11561,90
1526,St. Leo College,FL,2,446,407,853,21,400,500,370,450,17,22,990,683,201,3400,3731,9150,9150,4650,2340,2310,826,525,800,72.4,3379,*
1531,Stetson University,FL,2,*,*,*,*,470,600,410,540,21,27,1557,1227,489,1964,81,12315,12315,4565,2165,2400,555,600,1365,12.5,10307,73
1535,University of Florida,FL,1,*,*,*,*,550,670,470,580,24,28,12445,8836,3623,24470,3286,1820,7090,4180,1960,2220,*,630,1530,13.4,14737,66
1536,University of Miami,FL,2,*,*,*,*,490,640,430,560,21,27,7122,5386,1643,7760,876,16500,16500,6526,3810,2716,180,630,1985,5.9,17500,59
1537,University of South Florida,FL,1,553,492,1045,23,500,610,430,550,20,25,7589,4676,1876,14770,10962,1856,6760,3776,1806,1970,*,500,2180,17,11020,47
1538,University of Tampa,FL,2,*,*,*,*,*,*,*,*,*,*,1675,1190,325,1812,374,11690,11690,4564,2016,2548,640,700,1000,13.9,8716,*
1540,Webber College,FL,2,370,437,807,20,375,475,350,450,17,19,280,143,79,327,110,5590,5590,2900,1930,970,*,650,1952,15.1,4839,90
3954,University of Central Florida,FL,1,533,464,997,23,470,600,410,520,21,25,6986,2959,1918,12330,7152,1716,6618,4234,2410,1824,95,700,1600,22.2,6742,46
3955,University of West Florida,FL,1,496,452,948,22,440,540,390,500,19,24,1558,1254,472,3754,2477,1597,6172,3994,*,*,*,541,1387,23.4,8488,53
7893,Flagler College,FL,2,513,476,989,23,460,560,430,520,20,24,1415,714,338,1345,44,5120,5120,3200,1260,1940,*,500,2140,18.1,3930,69
8848,Warner Southern College,FL,2,403,359,762,17,330,450,310,410,14,19,400,280,134,397,62,6200,6200,3270,1500,1770,380,320,*,14.4,7774,42
8849,Palm Beach Atlantic College,FL,2,496,451,947,21,420,570,390,520,20,25,729,625,349,1432,334,7900,7900,3400,3400,*,*,500,500,19,6014,38
9635,Florida International University,FL,1,543,476,1019,23,490,600,420,520,22,25,3306,2079,1071,10208,9310,1695,6597,2494,2494,*,80,800,3028,13.9,6722,66
9841,University of North Florida,FL,1,533,484,1017,22,470,590,430,540,20,23,1800,1253,560,3876,3588,1732,6634,4360,*,*,*,600,2604,17.8,6104,47
1542,Agnes Scott College,GA,2,*,*,*,*,490,610,470,600,*,*,417,349,137,510,63,12960,12960,5450,5450,*,135,450,875,7.7,19016,59
1544,Albany State College,GA,1,*,*,*,*,*,*,*,*,*,*,1461,1097,580,2035,321,1772,4535,2754,2754,*,390,675,763,17,6238,62
1546,Armstrong State College,GA,1,471,436,907,*,*,*,*,*,*,*,2186,1835,1263,2796,2391,2028,5604,4192,*,*,*,450,950,10.5,5667,88
1551,Clark Atlanta University,GA,2,404,400,804,19,*,*,*,*,*,*,4502,2497,790,2844,88,7908,7908,4238,2168,2070,200,600,1500,14.9,9345,53
1552,Augusta College,GA,1,439,398,837,*,350,530,350,450,*,*,1452,1158,870,2902,1825,1422,4266,*,*,*,210,495,1950,18.9,5513,38
1554,Berry College,GA,2,*,*,*,*,480,600,440,550,22,27,1858,1221,480,1620,49,8050,8050,3940,1960,1980,*,350,2375,16.3,10511,63
1556,Brenau University,GA,2,459,471,930,*,*,*,*,*,*,*,367,274,158,917,479,9592,9592,5879,*,*,*,500,700,13.7,5935,49
1557,Brewton-Parker College,GA,2,393,373,766,*,300,440,310,440,15,22,1436,1228,1202,1320,822,4371,4371,2370,1320,1050,130,500,2000,12.6,4900,18
1561,Columbus College,GA,1,470,420,890,*,*,*,*,*,*,*,1348,1050,774,2873,1736,1381,2763,3375,3375,*,219,800,300,16.5,5332,32
1564,Emory University,GA,2,650,570,1220,28,600,700,530,610,26,30,8506,4168,1236,5544,192,17600,17600,6000,3600,2400,230,600,870,5,28457,96
1566,Fort Valley State College,GA,1,*,*,*,*,*,*,*,*,*,*,2092,1474,649,1903,221,1341,2682,2370,1290,1080,385,*,*,13.9,*,39
1569,Georgia Institute of Technology,GA,1,*,*,*,*,630,720,520,610,*,*,7837,4527,2276,8528,654,1899,6489,4438,4438,*,444,795,1164,19.3,11271,70
1570,Southern College of Technology,GA,1,512,428,940,22,460,560,380,460,21,22,652,503,297,2229,1283,1341,4023,3219,2004,1215,207,465,1600,17.3,6208,36
1572,Georgia Southern University,GA,1,445,399,844,*,389,500,350,448,*,*,8388,5423,3034,11404,1007,1808,4571,2987,2987,*,*,450,*,19.7,4830,46
1573,Georgia Southwestern College,GA,1,446,404,850,20,360,500,330,450,17,21,860,716,330,1703,473,1578,4158,2415,1395,1020,*,*,*,18.1,7091,26
1574,Georgia State University,GA,1,*,*,*,*,410,520,370,480,18,23,3793,2341,1238,7732,9054,2154,6744,2655,2655,*,246,720,3450,19,7762,34
1577,Kennesaw State College,GA,1,474,435,909,*,*,*,*,*,*,*,2402,1824,1161,5438,5556,1422,2844,*,*,*,183,450,1835,19.8,4907,21
1578,LaGrange College,GA,2,449,405,780,*,*,*,*,*,*,*,544,399,177,600,363,6987,6987,3585,*,*,285,750,1500,12.5,9067,75
1580,Mercer University,GA,2,529,473,1002,24,500,620,440,550,21,27,2286,1668,564,2943,1260,11985,11985,4081,2160,1921,*,400,1500,9.2,8995,91
1582,Morehouse College,GA,2,538,488,1026,24,460,630,410,560,18,28,3708,1678,722,2852,153,7050,7050,5490,3140,2350,1420,250,600,17.8,8122,83
1583,Morris Brown College,GA,2,450,400,850,19,*,*,*,*,*,*,6407,1500,595,1752,125,6770,6770,4438,4438,*,966,600,650,15.7,*,21
1585,North Georgia College,GA,1,*,*,*,*,*,*,*,*,*,*,1612,1077,775,2023,316,1382,4145,2445,2445,*,294,180,*,17.5,*,53
1586,Oglethorpe University,GA,2,570,549,1119,27,510,630,490,610,24,30,792,649,186,769,377,12900,12900,4340,4340,*,60,600,4110,13.1,8568,67
1587,Paine College,GA,2,*,*,*,*,300,330,260,390,14,18,1322,636,225,589,97,5460,5460,2814,1704,1110,300,500,1505,10.9,8967,27
1588,Piedmont College,GA,2,499,452,951,*,*,*,*,*,*,*,663,562,127,641,63,5640,5640,3620,1670,1680,*,600,750,13.2,7309,31
1590,Savannah State College,GA,1,375,334,709,17,*,*,*,*,*,*,1702,1448,726,2726,472,1800,3200,2145,2145,*,*,*,*,19,5847,48
1591,Shorter College,GA,2,*,*,*,*,430,570,380,520,19,25,540,445,165,1115,111,7210,7210,3600,*,*,110,500,2000,13.2,7356,58
1594,Spelman College,GA,2,515,487,1002,23,470,560,440,530,21,25,3713,1237,443,1971,107,7000,7000,5565,2565,3000,1222,660,2400,12.5,9988,65
1596,Toccoa Falls College,GA,2,445,433,878,21,*,*,*,*,*,*,*,*,182,781,82,6072,6072,3636,*,*,*,400,3036,16.8,6015,54
1598,University of Georgia,GA,1,571,515,1086,*,520,640,470,570,*,*,11220,7871,3320,19553,2748,1899,5697,3600,1770,1830,453,525,1755,14.7,7881,63
1599,Valdosta State University,GA,1,442,399,841,21,*,*,*,*,*,*,3674,3247,1586,5982,1418,1770,4617,2940,1650,1290,*,600,1200,20,5374,45
1600,Wesleyan College,GA,2,492,521,1013,23,420,570,440,600,*,*,305,287,109,382,46,11500,11500,4500,*,*,460,515,1374,7.6,11605,52
1601,West Georgia College,GA,1,456,412,868,*,400,500,360,450,18,22,3668,2604,1331,4538,1179,1806,4650,2973,1425,1548,378,490,1200,19.2,5687,40
1602,Georgia College,GA,1,428,383,811,19,400,480,420,540,*,*,1868,1788,829,3467,1167,1694,4457,2739,1434,1305,312,450,500,21.4,4706,52
3484,Covenant College,GA,2,536,512,1048,24,470,610,440,580,22,28,407,317,181,468,31,9700,9700,3744,1980,1764,150,470,1120,19,8614,56
29258,Savannah Coll. of Art and Design,GA,2,515,490,1005,23,480,560,460,550,19,26,1109,688,386,1897,208,8325,8325,5000,3050,1950,450,1200,1600,16.1,6874,55
1605,Chaminade University of Honolulu,HI,2,450,400,850,19,*,*,*,*,*,*,621,546,103,766,1154,10600,10600,5490,2720,2770,*,700,800,14.1,5073,*
1606,Brigham Young University - Hawaii,HI,2,*,*,*,20,*,*,*,*,17,23,1038,533,428,2008,23,1780,1780,3360,*,3360,*,*,*,16.8,*,*
1610,University of Hawaii at Manoa,HI,1,537,441,978,*,470,600,380,500,*,*,3580,2603,1627,11028,2411,1460,4460,3038,1808,1230,97,687,1281,11.8,12833,54
7279,Hawaii Pacific University,HI,2,490,465,955,23,425,550,399,500,18,24,1827,1409,1169,4312,2302,6300,6300,6500,*,*,200,500,*,23.3,5301,*
29020,University of Hawaii at Hilo,HI,1,446,404,850,*,420,540,380,470,*,*,1499,779,500,2082,871,480,2920,4270,*,*,50,714,1277,15.8,11460,31
1846,Briar Cliff College,IA,2,410,385,795,22,*,*,*,*,20,25,392,351,155,738,430,10260,10260,3597,3597,*,150,600,1500,13.1,8355,58
1847,Buena Vista College,IA,2,526,493,1019,24,490,510,480,500,22,26,860,688,285,1928,442,13306,13306,3797,1997,1800,*,450,950,8.8,6333,78
1850,Central College,IA,2,*,*,*,24,*,*,*,*,21,26,1283,1113,401,1355,40,10938,10938,3660,1638,2022,141,650,600,13.5,8444,67
1852,Clarke College,IA,2,*,*,*,21,*,*,*,*,21,26,460,340,167,604,350,10740,10740,3676,1838,1838,225,350,900,11,7963,74
1854,Coe College,IA,2,560,500,1060,25,490,590,450,560,23,27,1006,742,275,1127,205,13925,13925,4390,2400,1990,125,500,2200,12.7,10141,67
1856,Cornell College,IA,2,560,510,1070,25,500,620,450,590,23,28,1538,1329,383,1140,10,15248,15248,4323,1978,2345,125,550,800,12.2,10340,64
1859,Dordt College,IA,2,*,*,*,23,*,*,*,*,19,25,604,562,328,1048,56,9800,9800,2650,1200,1450,60,450,2800,12.5,7325,87
1860,Drake University,IA,2,540,490,1030,25,470,610,430,550,22,28,2799,2573,839,3322,726,13420,13420,4770,2148,2422,*,560,1675,15,9473,77
1866,Graceland College,IA,2,502,447,949,22,440,590,300,520,19,24,555,414,242,996,2281,9100,9100,3100,1130,1970,100,550,880,23.6,5609,47
1867,Grand View College,IA,2,*,*,*,20,*,*,*,*,*,*,535,511,233,1098,380,9820,9820,3360,2000,1360,50,570,2800,12.6,6687,32
1868,Grinnell College,IA,2,642,602,1244,29,610,700,560,660,27,31,2039,1389,432,1333,30,15688,15688,4618,2120,2498,374,400,400,9.5,18979,83
1869,Iowa State University,IA,1,*,*,*,*,530,640,380,460,22,27,8427,7424,3441,18676,1715,2291,7550,3224,3224,*,162,640,2055,19.2,8420,65
1871,Iowa Wesleyan College,IA,2,*,*,*,21,*,*,*,*,*,*,443,291,127,563,427,9850,9850,3400,1900,1500,*,500,*,17.2,7349,*
1873,Loras College,IA,2,*,*,*,23,*,*,*,*,19,25,1641,1283,527,1663,170,11200,11200,4000,*,*,*,500,1200,14.2,7578,70
1874,Luther College,IA,2,590,520,1110,25,530,650,460,580,23,28,1549,1392,587,2269,85,13240,13240,3560,1850,1710,*,600,400,13.8,8949,77
1876,Teikyo Marycrest University,IA,2,*,*,*,20,*,*,*,*,*,*,328,243,93,663,340,9980,9980,3640,1500,2140,210,500,2980,12.3,7791,69
1879,Morningside College,IA,2,*,*,*,22,*,*,*,*,19,25,586,533,239,950,228,10520,10520,3678,1812,1866,181,500,1000,13,8111,56
1880,Mount Mercy College,IA,2,*,*,*,*,*,*,*,*,*,*,368,317,159,806,542,10500,10500,3555,2115,1440,100,500,2285,11.3,6695,64
1881,Mount Saint Clare College,IA,2,*,*,*,21,*,*,*,*,17,23,325,284,95,364,88,9900,9900,3650,1660,1990,80,500,1200,13.6,6525,21
1883,Northwestern College,IA,2,*,*,*,22,*,*,*,*,20,26,860,811,366,1040,52,9900,9900,3075,1750,1325,*,300,1800,14.9,6357,68
1887,Simpson College,IA,2,*,*,*,*,*,*,*,*,21,26,1016,872,300,1116,602,11250,11250,4980,2130,2850,155,550,1400,15.8,7411,70
1889,Saint Ambrose University,IA,2,*,*,*,22,*,*,*,*,18,23,897,718,276,1345,390,10450,10450,4020,2310,1710,10,500,1500,14.1,7444,70
1890,University of Northern Iowa,IA,1,*,*,*,23,*,*,*,*,21,26,4144,3379,1853,10135,1448,2291,6197,2930,1318,1612,164,595,2380,16.3,6333,77
1891,University of Dubuque,IA,2,480,430,910,22,430,550,400,490,20,24,576,558,137,662,131,10430,10430,3620,1845,1775,100,400,1500,16.5,8767,45
1892,University of Iowa,IA,1,*,*,*,*,*,*,*,*,22,27,9224,8025,3262,15412,2878,2291,8149,3423,*,*,164,640,2426,13.1,12194,62
1893,Upper Iowa University,IA,2,*,*,*,22,*,*,*,*,19,25,663,452,192,1481,1160,8840,8840,3060,3060,*,*,500,1000,17.4,3733,78
1896,Wartburg College,IA,2,557,478,1035,24,490,640,420,540,21,27,1231,1074,345,1295,105,11600,11600,3610,1940,1670,120,400,850,12.4,7735,67
1899,Teikyo Westmar University,IA,2,*,*,*,19,*,*,*,*,*,*,451,306,123,611,146,9980,9980,3640,2010,1630,280,600,2240,12,*,51
1900,William Penn College,IA,2,*,*,*,*,*,*,*,*,17,23,326,294,140,630,107,10000,10000,3110,1800,1310,290,495,800,13.3,7057,40
1616,Boise State University,ID,1,468,431,899,21,*,*,*,*,*,*,3619,3080,1888,7948,5040,*,2093,3069,3370,*,938,600,2632,17,5705,25
1617,Albertson College,ID,2,524,487,1011,24,*,*,*,*,*,*,587,479,158,678,41,13500,13500,3335,1025,2210,322,500,675,9.4,9727,55
1620,Idaho State University,ID,1,*,*,*,21,*,*,*,*,18,23,1989,1627,1137,6547,2464,*,4500,2980,*,*,1500,500,1575,16.5,6266,33
1621,Lewis-Clark State College,ID,1,445,397,842,21,460,530,330,350,*,*,1001,551,428,1970,1256,1412,5120,3190,*,*,*,908,1721,12.1,6997,44
1624,Northwest Nazarene College,ID,2,*,*,*,23,*,*,*,*,18,24,616,514,385,1115,60,9840,9840,2820,1680,1140,339,450,822,14.8,6261,58
1626,University of Idaho,ID,1,517,463,980,23,420,580,390,530,19,25,3133,2799,1337,7242,1431,1548,5962,3540,*,*,*,832,*,13.5,8805,45
1633,Augustana College,IL,2,*,*,*,25,*,*,*,*,23,28,1879,1658,497,1950,38,13353,13353,4173,1622,1622,93,540,821,12.7,9220,71
1634,Aurora University,IL,2,*,*,*,21,*,*,*,*,18,25,532,481,127,815,801,10250,10250,3850,*,*,70,550,*,9.1,8358,56
1635,Barat College,IL,2,*,*,*,*,440,510,410,500,19,23,261,192,111,453,266,9690,9690,4300,4300,*,140,500,500,9.7,9337,71
1639,Blackburn College,IL,2,*,*,*,21,*,*,*,*,19,23,500,336,156,421,27,6500,6500,2700,*,*,*,500,1000,14.3,8377,51
1641,Bradley University,IL,2,590,530,1120,25,530,660,450,630,22,28,3767,3414,1061,4531,643,10870,10870,4440,2540,*,80,2000,1522,14.4,7671,85
1664,College of Saint Francis,IL,2,*,*,*,*,*,*,*,*,19,26,422,305,160,781,240,9810,9810,4160,4160,*,180,400,*,17.5,9729,80
1665,Columbia College,IL,2,*,*,*,*,*,*,*,*,*,*,2419,2160,1117,4852,1991,7310,7310,4350,*,4350,80,500,1612,13.4,5682,41
1666,Concordia University,IL,2,*,*,*,23,*,*,*,*,20,26,528,403,186,1168,145,9216,9216,4191,4191,*,80,400,1000,12.1,7309,75
1671,DePaul University,IL,2,554,511,1065,25,480,610,440,560,22,27,4815,3551,1227,6069,3719,11214,11214,4932,1479,3453,30,600,*,16.1,8322,63
1674,Eastern Illinois University,IL,1,*,*,*,22,*,*,*,*,20,24,5597,4253,1565,9161,845,1902,5710,3066,*,*,782,120,1730,16.2,5682,76
1678,Eureka College,IL,2,*,*,*,22,*,*,*,*,*,*,560,454,113,484,16,10955,10955,3450,1915,1535,150,330,670,10.6,9552,53
1684,Greenville College,IL,2,*,*,*,22,*,*,*,*,18,25,510,387,194,771,53,10310,10310,4530,*,*,*,400,800,14.3,8222,60
1688,Illinois College,IL,2,545,470,1015,23,475,650,400,575,21,26,894,787,262,909,28,8050,8050,3850,*,*,*,600,1000,15.6,7348,52
1691,Illinois Institute of Technology,IL,2,603,499,1102,25,540,670,440,560,22,28,1756,1360,478,1911,626,14550,14550,4620,*,*,40,500,700,12.3,12851,56
1692,Illinois State University,IL,1,*,*,*,22,*,*,*,*,19,25,8681,6695,2408,15701,1823,2600,7799,3403,3403,*,815,537,2605,21,5569,54
1693,Northeastern Illinois University,IL,1,*,*,*,17,*,*,*,*,15,20,2086,1507,631,4056,3433,1902,5706,*,*,*,236,552,2178,15.1,6453,21
1694,Chicago State University,IL,1,*,*,*,18,*,*,*,*,15,18,3553,1719,777,4543,2694,1848,5544,*,*,*,350,650,2400,15.6,6195,18
1696,Illinois Wesleyan University,IL,2,617,534,1151,28,600,670,480,560,26,30,3050,1342,471,1818,23,14360,14360,4090,1760,2330,125,400,650,12.9,9605,83
1700,Judson College,IL,2,*,*,*,22,*,*,*,*,19,24,313,228,137,552,67,9414,9414,4554,*,*,400,500,1700,10.6,7840,56
1703,Kendall College,IL,2,420,450,870,18,400,500,400,500,15,19,150,150,121,338,33,6900,6900,4851,4851,*,165,800,1500,15.9,8812,80
1704,Knox College,IL,2,570,530,1100,25,510,650,470,600,23,28,1040,845,286,967,24,15747,15747,4062,1806,2256,186,400,800,12.7,13224,79
1706,Lake Forest College,IL,2,*,*,*,*,480,600,440,560,22,27,979,638,271,968,20,16880,16880,3970,1740,2230,230,920,1320,10.7,15687,77
1707,Lewis University,IL,2,*,*,*,20,*,*,*,*,19,23,1154,1050,395,2192,1423,10560,10560,4520,2030,2490,*,500,1200,14.3,7701,61
1710,Loyola University Chicago,IL,2,529,482,1011,24,470,590,430,540,21,26,3579,2959,868,5244,3417,11500,11500,5330,*,*,350,700,2000,6.2,13009,65
1717,MacMurray College,IL,2,*,*,*,21,*,*,*,*,18,23,740,558,177,628,63,9620,9620,3750,2050,1700,*,550,950,10.8,10642,59
1722,McKendree College,IL,2,*,*,*,21,*,*,*,*,20,26,1002,555,119,836,684,7680,7680,3740,1820,1920,135,500,800,17.7,6652,52
1724,Millikin University,IL,2,541,511,1052,24,480,600,470,570,21,27,1444,1261,456,1788,95,11910,11910,4378,*,*,91,450,965,11.4,8149,75
1725,Monmouth College,IL,2,470,470,940,23,*,*,*,*,18,27,601,503,204,671,11,13000,13000,4100,2100,2000,200,400,460,11.6,11087,56
1733,National-Louis University,IL,2,*,*,*,17,*,*,*,*,16,22,513,347,279,2508,505,9090,9090,4500,4500,*,*,650,500,18.3,7905,71
1734,North Central College,IL,2,556,483,1039,25,480,630,440,550,21,27,1127,884,308,1310,766,11718,11718,7398,*,*,120,450,1800,16.4,8871,76
1735,North Park College,IL,2,526,466,992,22,437,620,400,542,17,25,465,361,176,879,156,12580,12580,4345,2390,1955,*,400,970,13.1,10889,74
1737,Northern Illinois University,IL,1,*,*,*,22,*,*,*,*,20,25,10706,7219,2397,14826,1979,2600,7799,3296,3296,*,950,470,1750,17.3,6086,56
1739,Northwestern University,IL,2,670,600,1270,29,610,720,540,640,27,31,12289,5200,1902,7450,45,16404,16404,5520,*,*,*,759,1585,6.8,26385,92
1741,Olivet Nazarene University,IL,2,*,*,*,*,*,*,*,*,*,*,678,640,388,1503,293,7700,7700,4140,4140,*,136,*,*,14.6,*,54
1744,Principia College,IL,2,548,496,1044,*,*,*,*,*,*,*,205,179,129,570,22,12816,12816,5344,2634,2710,210,1125,2000,9.6,16506,90
1745,Quincy University,IL,2,528,496,1024,23,490,590,450,560,21,27,1025,707,297,1070,72,10100,10100,4140,1750,2390,210,450,1080,16.3,6880,80
1748,Rockford College,IL,2,*,*,*,21,*,*,*,*,18,26,591,505,196,907,364,12305,12305,4066,4066,*,*,800,1940,12.3,8695,*
1749,Roosevelt University,IL,2,*,*,*,19,*,*,*,*,15,21,422,367,218,1700,2902,8580,8580,5100,5100,*,80,600,*,12.2,8995,77
1750,Rosary College,IL,2,*,*,*,*,*,*,*,*,19,24,434,321,141,624,269,10950,10950,4600,*,*,95,550,950,12.9,9264,81
1758,Southern Illinois University at Carbondale,IL,1,*,*,*,22,*,*,*,*,18,23,*,*,2158,16961,2499,2318,6953,3256,1920,1336,864,600,2608,14.9,9158,44
1759,Southern Illinois University at Edwardsville,IL,1,*,*,*,21,*,*,*,*,18,23,2540,2195,994,6063,2550,1824,5472,3598,1570,2028,488,221,2216,16.5,7498,43
1767,Illinois Benedictine College,IL,2,*,*,*,23,*,*,*,*,20,26,607,558,269,1222,519,10500,10500,4348,*,*,150,650,1500,11.6,8324,75
1768,Saint Xavier University,IL,2,*,*,*,20,*,*,*,*,*,*,785,647,295,1670,726,10860,10860,4624,2666,1958,110,600,794,13.7,8953,55
1772,Trinity College,IL,2,*,*,*,*,*,*,*,*,*,*,746,473,317,834,50,9600,9600,4110,2030,2080,75,600,1300,21.9,5252,28
1774,University of Chicago,IL,2,*,*,*,*,630,720,570,680,27,31,6348,2999,922,3340,39,18930,18930,6380,3070,3310,486,500,1254,5.3,36854,90
1775,University of Illinois - Urbana,IL,1,617,522,1139,27,550,700,470,580,23,29,14939,11652,5705,25422,911,2760,7560,4574,1780,2794,920,500,1982,17.4,8559,81
1776,University of Illinois at Chicago,IL,1,*,*,*,21,*,*,*,*,18,23,8384,5727,2710,13518,2916,2520,7230,5088,3198,1890,1108,630,3228,10,13883,34
1780,Western Illinois University,IL,1,*,*,*,22,*,*,*,*,18,24,6491,5027,1563,9015,1449,1902,5706,3193,1843,1350,705,600,1993,17.2,6566,55
1781,Wheaton College,IL,2,*,*,*,*,570,670,510,620,25,30,1432,920,548,2200,56,11480,11480,4200,2440,1760,*,530,1400,12.7,11916,85
1785,Anderson University,IN,2,462,423,885,21,390,540,360,490,18,23,1216,908,423,1819,281,10100,10100,3520,1620,1900,200,550,1100,12.1,7994,59
1786,Ball State University,IN,1,473,422,895,21,400,530,360,470,18,24,9361,7910,3849,16148,2207,2864,7244,3608,3608,*,*,500,1500,17.7,7449,51
1787,Bethel College,IN,2,490,453,943,22,410,570,380,500,18,25,495,415,267,733,402,9300,9300,3000,1300,1700,*,500,*,14.6,6392,*
1788,Butler University,IN,2,544,484,1028,25,480,610,420,540,22,28,2362,2037,700,2607,148,13130,13130,4650,2480,2170,65,500,1600,10.9,9511,83
1792,DePauw University,IN,2,*,*,*,*,540,670,490,610,23,28,1994,1656,495,1983,36,14300,14300,5020,2510,2510,200,550,950,11.1,11525,82
1793,Earlham College,IN,2,570,550,1120,25,490,630,480,600,23,29,1358,1006,274,1028,13,15036,15036,4056,1899,2157,273,600,600,10.6,14634,78
1795,University of Evansville,IN,2,538,498,1036,*,470,600,420,550,22,27,2096,1626,694,2551,407,11800,11800,4340,2520,1820,200,700,960,15.8,7780,77
1798,Franklin College,IN,2,532,481,1013,22,480,630,430,580,*,*,804,632,281,840,68,10390,10390,4040,1790,2250,110,525,1345,12.5,11751,60
1799,Goshen College,IN,2,519,487,1006,*,410,570,400,550,*,*,440,396,221,910,166,9420,9420,3730,1800,1930,*,600,1230,9.9,10270,72
1800,Grace College and Seminary,IN,2,*,*,*,21,*,*,*,*,*,*,548,428,167,618,113,8958,8958,3670,1862,1956,*,300,1000,15.3,9798,64
1801,Hanover College,IN,2,541,486,1040,24,470,600,420,540,21,27,1006,837,317,1024,15,8200,8200,3485,1540,1945,350,500,1200,10.6,9248,64
1803,Huntington College,IN,2,480,422,902,21,480,565,375,458,18,24,450,430,125,488,43,9950,9950,3920,3920,*,250,300,1300,11.8,9466,47
1804,University of Indianapolis,IN,2,487,432,919,21,400,570,370,490,18,25,1487,1276,388,1417,1646,11120,11120,4080,4080,*,30,525,1405,11.1,6735,69
1805,Indiana Institute of Technology,IN,2,491,446,937,22,410,580,340,470,17,27,1052,810,167,477,602,8120,8120,3790,3790,*,*,*,*,15.4,6111,*
1808,University of Southern Indiana,IN,1,429,384,813,18,*,*,*,*,*,*,2379,2133,1292,4283,2973,2040,4973,3192,1660,1532,20,500,1425,22,4078,38
1809,Indiana University at Bloomington,IN,1,530,466,996,24,*,*,*,*,*,*,16587,13243,5873,24763,2717,2984,9766,3990,*,*,389,600,2000,21.3,8686,68
1811,Indiana Univ. East,IN,1,*,*,*,*,330,480,320,420,14,23,814,814,616,988,1356,2369,6140,*,*,*,116,570,*,13.8,5153,24
1812,Indiana Univ.-Purdue Univ. at Fort Wayne,IN,1,*,*,*,*,*,*,*,*,*,*,2464,2306,1714,4981,5917,2090,5170,*,*,*,91,500,2000,16,4843,41
1813,Indiana Univ.-Purdue Univ. at Indianapolis,IN,1,428,388,816,19,360,490,330,440,17,21,4630,3655,2301,9216,11176,2766,8490,*,*,*,212,600,2200,10.4,12803,25
1814,Indiana Univ. at Kokomo,IN,1,415,387,802,*,*,*,*,*,*,*,1108,1086,723,1139,2070,2369,6140,*,*,*,90,660,*,14.7,6303,23
